context,question,ground_truth
"INTRODUCTION: Cultural intelligence and social compatibility are two acquired      processes that their education and reinforcement between dormitory's students who       have inter cultural interactions with each other can conclude with results that       tension diminution, inter cultural contrast and conflict, social divisions and       consequently healthy and peaceful relationships and governance and finally mental       peace, and health are of its most important. Hence, the research has been       occurring in order to the determination of cultural intelligence relationship       with the social compatibility of Isfahan University of Medical Sciences       dormitories resident students in 2012. MATERIALS AND METHODS: The research method       is descriptive-correlation, and its population is composed of all Isfahan       University of Medical Sciences dormitories resident students in 2012 that were       totally 2500 persons. The two steps sampling method have been used, group       sampling and random sampling has been occurring at first and second steps and       totally 447 persons were selected. Research data were collected via Earley and       Ang cultural intelligence questionnaire with 0.76 Cronbach's alpha Coefficient       and California social compatibility standard questionnaire with higher than 0.70       Cronbach's alpha factor. Questionnaire data have been analyzed with the SPSS       software and results have been presented in the shape of descriptions and       statistics. FINDINGS: Results showed that there is a direct significant       relationship (P < 0.001) between cultural intelligence and the social adjustment       in students living in Isfahan University of Medical Sciences dormitories and also       there is a direct significant relationship in the level of (P < 0.05) between       cognitive and motivational dimensions of cultural intelligence; however, there is       no significant relationship between cognitive and behavioral dimensions of       cultural intelligence and social adjustment (P > 0.05). CONCLUSION: Cultural       intelligence and cognitive and motivational addition in dimensions of students       living in Isfahan University of Medical Sciences dormitories increase their       social integration, therefore, cultural intelligence and social adjustment of       students can be increased through planning and we can try for their mental health       by this way.",What is the relationship between cultural intelligence and social adjustment among students living in Isfahan University of Medical Sciences dormitories?,"The research has found a direct significant relationship (P < 0.001) between cultural intelligence and social adjustment among students living in Isfahan University of Medical Sciences dormitories. Additionally, there is a direct significant relationship (P < 0.05) between the cognitive and motivational dimensions of cultural intelligence and social adjustment, but there is no significant relationship between the cognitive and behavioral dimensions of cultural intelligence and social adjustment (P > 0.05)."
"OBJECTIVES: Despite documented benefits and physicians' recommendations to      participate in cardiac rehabilitation (CR) programs, the average dropout rate       remains between 12-56%. This study's goal was to demonstrate that using       personalized interventions can significantly increase patient adherence. METHOD:       Ninety-five patients (ages 18-90) eligible for the CR program were randomly       recruited and received personalized interventions using the Well-Beat system.       Adherence levels were compared to those of a historical control group. The       Well-Beat system provided Sheba CR Health Care Provider (HCP) guidelines for       personalized patient-therapist dialogue. The system also generated ongoing       personalized text messages for each patient sent twice a week and related each       patient's dynamic profile to their daily behavior, creating continuity, and       reinforcing the desired behavior. RESULTS: A significant increase in patient       adherence to the CR program: Three months after initiation, 76% remained active       compared to the historical average of 24% in the matched control group (log-rank       p-value = 0.001). CONCLUSIONS: Using an Artificial Intelligence (AI)-based engine       that generated recommendations and messages made it possible to improve patient       adherence without increasing HCP load, benefiting all. Presenting customized       patient insights to the HCP and generating personalized communications along with       action motivating text messages can also be useful for remote care.",What is the goal of the study and how does the Well-Beat system contribute to achieving this goal?,"The goal of the study is to demonstrate that using personalized interventions can significantly increase patient adherence to the CR program. The Well-Beat system contributes to achieving this goal by providing Sheba CR Health Care Provider (HCP) guidelines for personalized patient-therapist dialogue, generating ongoing personalized text messages for each patient sent twice a week, and related each patient's dynamic profile to their daily behavior, creating continuity, and reinforcing the desired behavior."
"In materials science, the investigation of a large and complex experimental space      is time-consuming and thus may induce bias to exclude potential solutions where       little to no knowledge is available. This work presents the development of a       highly hydrophobic material from an amphiphilic polymer through a novel, adaptive       artificial intelligence approach. The hydrophobicity arises from the random       packing of short polymer fibers into paper, a highly entropic, multistep process.       Using Bayesian optimization, the algorithm is able to efficiently navigate the       parameter space without bias, including areas which a human experimenter would       not address. This resulted in additional knowledge gain, which can then be       applied to the fabrication process, resulting in a highly hydrophobic material       (static water contact angle 135°) from an amphiphilic polymer (contact angle of       90°) through a simple and scalable filtration-based method. This presents a       potential pathway for surface modification using the short polymer fibers to       create fluorine-free hydrophobic surfaces on a larger scale.",What is the significance of using Bayesian optimization in the development of a highly hydrophobic material from an amphiphilic polymer?,"Answer: The significance of using Bayesian optimization in the development of a highly hydrophobic material from an amphiphilic polymer is that it allows for efficient navigation of the parameter space without bias, including areas which a human experimenter would not address. This results in additional knowledge gain, which can then be applied to the fabrication process, resulting in a highly hydrophobic material with a static water contact angle of 135° from an amphiphilic polymer with a contact angle of 90° through a simple and scalable filtration-based method. This presents a potential pathway for surface modification using the short polymer fibers to create fluorine-free hydrophobic surfaces on a larger scale."
"Artificial intelligence (AI) has experienced substantial progress over the last      ten years in many fields of application, including healthcare. In hepatology and       pancreatology, major attention to date has been paid to its application to the       assisted or even automated interpretation of radiological images, where AI can       generate accurate and reproducible imaging diagnosis, reducing the physicians'       workload. AI can provide automatic or semi-automatic segmentation and       registration of the liver and pancreatic glands and lesions. Furthermore, using       radiomics, AI can introduce new quantitative information which is not visible to       the human eye to radiological reports. AI has been applied in the detection and       characterization of focal lesions and diffuse diseases of the liver and pancreas,       such as neoplasms, chronic hepatic disease, or acute or chronic pancreatitis,       among others. These solutions have been applied to different imaging techniques       commonly used to diagnose liver and pancreatic diseases, such as ultrasound,       endoscopic ultrasonography, computerized tomography (CT), magnetic resonance       imaging, and positron emission tomography/CT. However, AI is also applied in this       context to many other relevant steps involved in a comprehensive clinical       scenario to manage a gastroenterological patient. AI can also be applied to       choose the most convenient test prescription, to improve image quality or       accelerate its acquisition, and to predict patient prognosis and treatment       response. In this review, we summarize the current evidence on the application of       AI to hepatic and pancreatic radiology, not only in regard to the interpretation       of images, but also to all the steps involved in the radiological workflow in a       broader sense. Lastly, we discuss the challenges and future directions of the       clinical application of AI methods.","What is the current state of artificial intelligence (AI) in hepatology and pancreatology, specifically in the field of radiology, and what are the challenges and future directions for its clinical application?","Answer: Artificial intelligence (AI) has made significant progress in hepatology and pancreatology, particularly in the field of radiology. AI can assist or even automate the interpretation of radiological images, providing accurate and reproducible imaging diagnosis, reducing the workload of physicians. AI can also provide automatic or semi-automatic segmentation and registration of the liver and pancreatic glands and lesions, as well as introduce new quantitative information through radiomics. AI has been applied to the detection and characterization of focal lesions and diffuse diseases of the liver and pancreas, such as neoplasms, chronic hepatic disease, or acute or chronic pancreatitis, among others. AI can also be used in other relevant steps involved in a comprehensive clinical scenario to manage a gastroenterological patient, such as choosing the most convenient test prescription, improving image quality or accelerating its acquisition, and predicting patient prognosis and treatment response. However, there are challenges to the clinical application of AI methods, such as ensuring the accuracy and reliability of AI algorithms, addressing concerns about data privacy and security, and ensuring that AI is used ethically and responsibly. Future directions for the clinical application of AI in hepatology and pancreatology include further development of AI algorithms to improve accuracy and reliability, expanding the use of AI to other imaging techniques, and integrating AI into clinical workflows to improve efficiency and patient outcomes."
"Identifying chemical odors rapidly and accurately is critical in a variety of      fields. Due to the limited human sense of smell, much effort has been dedicated       to the development of electronic sensing devices. Despite some recent progress,       such devices are still no match for the capabilities of biological (animal)       olfactory sensors, which are light, robust, versatile, and sensitive.       Consequently, scientists are turning to a new approach: Bio-Hybrid sensors. These       sensors combine animal biological sensors with electronic components to achieve       maximum detection and classification while conveying a comprehensible signal to       the end user. In this work, we created a bio-hybrid odor discriminator utilizing       the desert locust's primary olfactory apparatus - its antennae, together with       simple electroantennogram technology and artificial intelligence tools for signal       analysis. Our discriminator is able to differentiate between at least eight pure       odors and two mixtures of different odorants, independently of odorant       concentration. With four orders of magnitude higher sensitivity than gas       chromatography-mass spectrometry, it is able to detect the presence of less than       1 ng of volatile compounds and, compared to other bio-hybrid sensors available       today, it can be easily operated by an unskilled individual. This study thus       opens up the future for robust and simple bio-hybrid robotic sensing devices that       can be widely deployed.",What is the purpose of the study and what is the significance of the results obtained in the creation of a bio-hybrid odor discriminator?,"The purpose of the study is to develop a bio-hybrid odor discriminator that can differentiate between at least eight pure odors and two mixtures of different odorants, independently of odorant concentration. The significance of the results obtained in the creation of this bio-hybrid odor discriminator is that it is able to detect the presence of less than 1 ng of volatile compounds and can be easily operated by an unskilled individual. This makes it a robust and simple bio-hybrid robotic sensing device that can be widely deployed."
"BACKGROUND: Deep learning-based head and neck lymph node level (HN_LNL)      autodelineation is of high relevance to radiotherapy research and clinical       treatment planning but still underinvestigated in academic literature. In       particular, there is no publicly available open-source solution for large-scale       autosegmentation of HN_LNL in the research setting. METHODS: An expert-delineated       cohort of 35 planning CTs was used for training of an nnU-net       3D-fullres/2D-ensemble model for autosegmentation of 20 different HN_LNL. A       second cohort acquired at the same institution later in time served as the test       set (n = 20). In a completely blinded evaluation, 3 clinical experts rated the       quality of deep learning autosegmentations in a head-to-head comparison with       expert-created contours. For a subgroup of 10 cases, intraobserver variability       was compared to the average deep learning autosegmentation accuracy on the       original and recontoured set of expert segmentations. A postprocessing step to       adjust craniocaudal boundaries of level autosegmentations to the CT slice plane       was introduced and the effect of autocontour consistency with CT slice plane       orientation on geometric accuracy and expert rating was investigated. RESULTS:       Blinded expert ratings for deep learning segmentations and expert-created       contours were not significantly different. Deep learning segmentations with slice       plane adjustment were rated numerically higher (mean, 81.0 vs. 79.6, p = 0.185)       and deep learning segmentations without slice plane adjustment were rated       numerically lower (77.2 vs. 79.6, p = 0.167) than manually drawn contours. In a       head-to-head comparison, deep learning segmentations with CT slice plane       adjustment were rated significantly better than deep learning contours without       slice plane adjustment (81.0 vs. 77.2, p = 0.004). Geometric accuracy of deep       learning segmentations was not different from intraobserver variability (mean       Dice per level, 0.76 vs. 0.77, p = 0.307). Clinical significance of contour       consistency with CT slice plane orientation was not represented by geometric       accuracy metrics (volumetric Dice, 0.78 vs. 0.78, p = 0.703). CONCLUSIONS: We       show that a nnU-net 3D-fullres/2D-ensemble model can be used for highly accurate       autodelineation of HN_LNL using only a limited training dataset that is ideally       suited for large-scale standardized autodelineation of HN_LNL in the research       setting. Geometric accuracy metrics are only an imperfect surrogate for blinded       expert rating.",What is the difference between the accuracy of deep learning-based head and neck lymph node level (HN_LNL) autodelineation and expert-created contours in a blinded evaluation?,Answer: The difference between the accuracy of deep learning-based head and neck lymph node level (HN_LNL) autodelineation and expert-created contours in a blinded evaluation was not significant.
"BACKGROUND: A cheap and minimum-invasive method for early identification of      Alzheimer's disease (AD) pathogenesis is key to disease management and the       success of emerging treatments targeting the prodromal phases of the disease.       OBJECTIVE: To develop a machine learning-based blood panel to predict the       progression from mild cognitive impairment (MCI) to dementia due to AD within a       four-year time-to-conversion horizon. METHODS: We created over one billion models       to predict the probability of conversion from MCI to dementia due to AD and chose       the best-performing one. We used Alzheimer's Disease Neuroimaging Initiative       (ADNI) data of 379 MCI individuals in the baseline visit, from which 176       converted to AD dementia. RESULTS: We developed a machine learning-based panel       composed of 12 plasma proteins (ApoB, Calcitonin, C-peptide, CRP, IGFBP-2,       Interleukin-3, Interleukin-8, PARC, Serotransferrin, THP, TLSP 1-309, and TN-C),       and which yielded an AUC of 0.91, accuracy of 0.91, sensitivity of 0.84, and       specificity of 0.98 for predicting the risk of MCI patients converting to       dementia due to AD in a horizon of up to four years. CONCLUSION: The proposed       machine learning model was able to accurately predict the risk of MCI patients       converting to dementia due to AD in a horizon of up to four years, suggesting       that this model could be used as a minimum-invasive tool for clinical decision       support. Further studies are needed to better clarify the possible       pathophysiological links with the reported proteins.",What is the accuracy of a machine learning-based blood panel composed of 12 plasma proteins in predicting the risk of mild cognitive impairment (MCI) patients converting to dementia due to Alzheimer's disease (AD) in a horizon of up to four years?,The accuracy of the machine learning-based blood panel composed of 12 plasma proteins in predicting the risk of mild cognitive impairment (MCI) patients converting to dementia due to Alzheimer's disease (AD) in a horizon of up to four years is 0.91.
"BACKGROUND: Fracture detection by artificial intelligence and especially Deep      Convolutional Neural Networks (DCNN) is a topic of growing interest in current       orthopaedic and radiological research. As learning a DCNN usually needs a large       amount of training data, mostly frequent fractures as well as conventional X-ray       are used. Therefore, less common fractures like acetabular fractures (AF) are       underrepresented in the literature. The aim of this pilot study was to establish       a DCNN for detection of AF using computer tomography (CT) scans. METHODS:       Patients with an acetabular fracture were identified from the monocentric       consecutive pelvic injury registry at the BG Trauma Center XXX from       01/2003 - 12/2019. All patients with unilateral AF and CT scans available in       DICOM-format were included for further processing. All datasets were       automatically anonymised and digitally post-processed. Extraction of the relevant       region of interests was performed and the technique of data augmentation (DA) was       implemented to artificially increase the number of training samples. A DCNN based       on Med3D was used for autonomous fracture detection, using global average pooling       (GAP) to reduce overfitting. RESULTS: From a total of 2,340 patients with a       pelvic fracture, 654 patients suffered from an AF. After screening and       post-processing of the datasets, a total of 159 datasets were enrolled for       training of the algorithm. A random assignment into training datasets (80%) and       test datasets (20%) was performed. The technique of bone area extraction, DA and       GAP increased the accuracy of fracture detection from 58.8% (native DCNN) up to       an accuracy of 82.8% despite the low number of datasets. CONCLUSION: The accuracy       of fracture detection of our trained DCNN is comparable to published values       despite the low number of training datasets. The techniques of bone extraction,       DA and GAP are useful for increasing the detection rates of rare fractures by a       DCNN. Based on the used DCNN in combination with the described techniques from       this pilot study, the possibility of an automatic fracture classification of AF       is under investigation in a multicentre study.","What is the accuracy of fracture detection using a Deep Convolutional Neural Network (DCNN) based on Med3D with global average pooling (GAP) for acetabular fractures (AF) using computer tomography (CT) scans, and how does the technique of bone area extraction, data augmentation (DA), and GAP increase the accuracy of fracture detection?","Answer: The accuracy of fracture detection using a Deep Convolutional Neural Network (DCNN) based on Med3D with global average pooling (GAP) for acetabular fractures (AF) using computer tomography (CT) scans is 82.8%. The technique of bone area extraction, data augmentation (DA), and GAP increases the accuracy of fracture detection by 24%."
"The urban heat island is a vastly documented climatological phenomenon, but when      it comes to coastal cities, close to desert areas, its analysis becomes extremely       challenging, given the high temporal variability and spatial heterogeneity. The       strong dependency on the synoptic weather conditions, rather than on       city-specific, constant features, hinders the identification of recurrent       patterns, leading conventional predicting algorithms to fail. In this paper, an       advanced artificial intelligence technique based on long short-term memory (LSTM)       model is applied to gain insight and predict the highly fluctuating heat island       intensity (UHII) in the city of Sydney, Australia, governed by the dualistic       system of cool sea breeze from the ocean and hot western winds from the vast       desert biome inlands. Hourly measurements of temperature, collected for a period       of 18 years (1999-2017) from 8 different sites in a 50 km radius from the       coastline, were used to train (80%) and test (20%) the model. Other inputs       included date, time, and previously computed UHII, feedbacked to the model with       an optimized time step of six hours. A second set of models integrated wind speed       at the reference station to account for the sea breeze effect. The R(2) ranged       between 0.770 and 0.932 for the training dataset and between 0.841 and 0.924 for       the testing dataset, with the best performance attained right in correspondence       of the city hot spots. Unexpectedly, very little benefit (0.06-0.43%) was       achieved by including the sea breeze among the input variables. Overall, this       study is insightful of a rather rare climatological case at the watershed between       maritime and desertic typicality. We proved that accurate UHII predictions can be       achieved by learning from long-term air temperature records, provided that an       appropriate predicting architecture is utilized.","What is the main challenge in analyzing the urban heat island in coastal cities with strong dependencies on synoptic weather conditions, and how does the advanced artificial intelligence technique based on long short-term memory (LSTM) model help in predicting the highly fluctuating heat island intensity (UHII) in Sydney, Australia?","
Answer: The main challenge in analyzing the urban heat island in coastal cities with strong dependencies on synoptic weather conditions is the high temporal variability and spatial heterogeneity. The strong dependency on the synoptic weather conditions hinders the identification of recurrent patterns, leading conventional predicting algorithms to fail. However, the advanced artificial intelligence technique based on long short-term memory (LSTM) model helps in predicting the highly fluctuating heat island intensity (UHII) in Sydney, Australia, by learning from long-term air temperature records and utilizing an appropriate predicting architecture. The model takes into account hourly measurements of temperature, collected for a period of 18 years (1999-2017) from 8 different sites in a 50 km radius from the coastline, as well as other inputs such as date, time, and previously computed UHII, feedbacked to the model with an optimized time step of six hours. Additionally, a second set of models integrated wind speed at the reference station to account for the sea breeze effect. The R(2) ranged between 0.770 and 0.932 for the training dataset and between 0.841 and 0.924 for the testing dataset, with the best performance attained right in correspondence of the city hot spots. Unexpectedly, very little benefit (0.06-0.43%) was achieved by including the sea breeze among the input variables. Overall, this study is insightful of a rather rare climatological case at the watershed between maritime and desertic typicality."
"BACKGROUND: Early detection of depression is very important for the treatment of      patients. In view of the current inefficient screening methods for depression,       the research of depression identification technology is a complex problem with       application value. METHODS: Our research propose a new experimental method for       depression detection based on audio and text. 160 Chinese subjects are       investigated in this study. It is worth noting that we propose a text reading       experiment to make subjects emotions change rapidly. It will be called Segmental       Emotional Speech Experiment (SESE) below. We extract 384-dimensional Low-level       audio features to find the differences of different emotional change in SESE. At       the same time, our research propose a multi-modal fusion method based on       DeepSpectrum features and word vector features to detect depression by using deep       learning. RESULTS: Our experiment proved that SESE can improve the recognition       accuracy of depression and found differences in Low-level audio features. Case       group and Control group, gender and age are grouped for verification. It is also       satisfactory that the multi-modal fusion model achieves accuracy of 0.912 and F1       score of 0.906. CONCLUSIONS: Our contribution is twofold. First, we propose and       verify SESE, which can provide a new experimental idea for the follow-up       researchers. Secondly, a new efficient multi-modal depression recognition model       is proposed.","What is the proposed method for depression detection based on audio and text, and what is the significance of the Segmental Emotional Speech Experiment (SESE) in this method?","The proposed method for depression detection based on audio and text involves the use of a Segmental Emotional Speech Experiment (SESE) to make subjects' emotions change rapidly. The SESE is a text reading experiment that is used to extract 384-dimensional Low-level audio features to find the differences in emotional changes. Additionally, a multi-modal fusion method based on DeepSpectrum features and word vector features is used to detect depression using deep learning. The significance of the SESE in this method is that it allows for the rapid change of emotions in subjects, which helps to improve the recognition accuracy of depression."
"Convolution Neural Networks (CNNs) are gaining ground in deep learning and      Artificial Intelligence (AI) domains, and they can benefit from rapid prototyping       in order to produce efficient and low-power hardware designs. The inference       process of a Deep Neural Network (DNN) is considered a computationally intensive       process that requires hardware accelerators to operate in real-world scenarios       due to the low latency requirements of real-time applications. As a result,       High-Level Synthesis (HLS) tools are gaining popularity since they provide       attractive ways to reduce design time complexity directly in register transfer       level (RTL). In this paper, we implement a MobileNetV2 model using a       state-of-the-art HLS tool in order to conduct a design space exploration and to       provide insights on complex hardware designs which are tailored for DNN       inference. Our goal is to combine design methodologies with sparsification       techniques to produce hardware accelerators that achieve comparable error metrics       within the same order of magnitude with the corresponding state-of-the-art       systems while also significantly reducing the inference latency and resource       utilization. Toward this end, we apply sparse matrix techniques on a MobileNetV2       model for efficient data representation, and we evaluate our designs in two       different weight pruning approaches. Experimental results are evaluated with       respect to the CIFAR-10 data set using several different design methodologies in       order to fully explore their effects on the performance of the model under       examination.",What is the goal of the paper and how does it achieve it?,"Answer: The goal of the paper is to combine design methodologies with sparsification techniques to produce hardware accelerators that achieve comparable error metrics within the same order of magnitude with the corresponding state-of-the-art systems while also significantly reducing the inference latency and resource utilization. The paper achieves this goal by applying sparse matrix techniques on a MobileNetV2 model for efficient data representation, and evaluating the designs in two different weight pruning approaches. The experimental results are evaluated with respect to the CIFAR-10 data set using several different design methodologies to fully explore their effects on the performance of the model under examination."
OBJECTIVE: To enhance the positive predictive value (PPV) of chest digital      tomosynthesis (DTS) in the lung cancer detection with the analysis of radiomics       features. METHOD: The investigation was carried out within the SOS clinical trial       (NCT03645018) for lung cancer screening with DTS. Lung nodules were identified by       visual analysis and then classified using the diameter and the radiological       aspect of the nodule following lung-RADS. Haralick texture features were       extracted from the segmented nodules. Both semantic variables and radiomics       features were used to build a predictive model using logistic regression on a       subset of variables selected with backward feature selection and using two       machine learning: a Random Forest and a neural network with the whole subset of       variables. The methods were applied to a train set and validated on a test set       where diagnostic accuracy metrics were calculated. RESULTS: Binary visual       analysis had a good sensitivity (0.95) but a low PPV (0.14). Lung-RADS       classification increased the PPV (0.19) but with an unacceptable low sensitivity       (0.65). Logistic regression showed a mildly increased PPV (0.29) but a lower       sensitivity (0.20). Random Forest demonstrated a moderate PPV (0.40) but with a       low sensitivity (0.30). Neural network demonstrated to be the best predictor with       a high PPV (0.95) and a high sensitivity (0.90). CONCLUSIONS: The neural network       demonstrated the best PPV. The use of visual analysis along with neural network       could help radiologists to reduce the number of false positive in DTS. KEY       POINTS: • We investigated several approaches to enhance the positive predictive       value of chest digital tomosynthesis in the lung cancer detection. • Neural       network demonstrated to be the best predictor with a nearly perfect PPV. • Neural       network could help radiologists to reduce the number of false positive in DTS.,"What is the best predictive model for enhancing the positive predictive value of chest digital tomosynthesis in lung cancer detection, and how does it compare to other methods?","Answer: The best predictive model for enhancing the positive predictive value of chest digital tomosynthesis in lung cancer detection is a neural network, which demonstrated a nearly perfect positive predictive value (PPV) of 0.95 and a high sensitivity of 0.90. This model outperforms other methods, including binary visual analysis, lung-RADS classification, logistic regression, Random Forest, and neural network. The use of visual analysis along with neural network could help radiologists to reduce the number of false positive in DTS."
"ABSTRACTChildren HIV-exposed, uninfected (CHEU) are at risk for compromised      developmental outcomes. Attention is important for behavioural, cognitive and       academic skills, yet has not been thoroughly investigated compared to children       HIV-unexposed uninfected (CHUU). Fifty-five CHEU and 51 CHUU children were       recruited at 5.5 years of age. Measures of inattention (IA),       hyperactivity/impulsivity (HI) and total scores were collected using the       parent-reported ADHD-Rating-Scale-IV. Measures of intelligence, visuomotor       skills, academics and adaptive functioning were obtained. Analyses of       between-group differences were performed as were correlational and multiple       regression models, accounting for maternal education, employment and delivery       type. Few children met clinical cut-offs for probable ADHD (3.6% CHEU, 2.0%       CHUU), and no group differences in measures of IA, HI and combined scores were       found. CHEU scored significantly lower than CHUU on intelligence, visuomotor       function, academic skills and aspects of adaptive behaviour, though within age       expectations. Lower Full-Scale IQ and Processing Speed were associated with       higher IA in CHEU and lower adaptive functioning with higher IA in CHUU. Across       both groups, children of unemployed mothers had more HI symptoms. CHEU were not       at increased risk for attention difficulties at 5.5 years of age. Maternal       employment status highlights the contribution of sociodemographic factors in       shaping behaviour and neurodevelopment.","What is the relationship between attention difficulties and maternal employment status in children HIV-exposed, uninfected (CHEU) and children HIV-unexposed uninfected (CHUU)?","Answer: The study found that children of unemployed mothers had more hyperactivity/impulsivity symptoms in both CHEU and CHUU groups. However, there was no significant relationship between maternal employment status and attention difficulties in either group."
"OBJECTIVE: Food advertising is an important determinant of unhealthy eating.      However, analysing a large number of advertisements (ads) to distinguish between       food and non-food content is a challenging task. This study aims to develop a       machine learning-based method to automatically identify and classify food and       non-food ad videos. DESIGN: Methodological study to develop an algorithm model       that prioritises both accuracy and efficiency in monitoring and classifying       advertising videos. SETTING: From a collection of Brazilian television (TV) ads       data, we created a database and split it into three sub-databases (i.e. training,       validation and test) by extracting frames from ads. Subsequently, the training       database was classified using the EfficientNet neural network. The best models       and data-balancing strategies were investigated using the validation database.       Finally, the test database was used to apply the best model and strategy, and       results were verified with field experts. PARTICIPANTS: The study used 2124       recorded Brazilian TV programming hours from 2018 to 2020. It included 703 food       ads and over 20 000 non-food ads, following the protocol developed by the       INFORMAS network for monitoring food marketing on TV. RESULTS: The results showed       that the EfficientNet neural network associated with the balanced batches       strategy achieved an overall accuracy of 90·5 % on the test database, which       represents a reduction of 99·9 % of the time spent on identifying and classifying       ads. CONCLUSIONS: The method studied represents a promising approach for       differentiating food and non-food-related video within monitoring food marketing,       which has significant practical implications for researchers, public health       policymakers, and regulatory bodies.",What is the objective of the study and how does it aim to achieve it?,The objective of the study is to develop a machine learning-based method to automatically identify and classify food and non-food ad videos. The study aims to achieve this objective by prioritizing both accuracy and efficiency in monitoring and classifying advertising videos.
"Human-computer information retrieval (HCIR) is the study of information retrieval      techniques that integrate human intelligence and algorithmic search to help       people explore, understand, and use information. Since 2007, we have held an       annual gathering of researchers and practitioners to advance the state of the art       in this field. This meeting report summarizes the history of the HCIR symposium       and emphasizes its relevance to the data science community.",What is the purpose of the annual gathering of researchers and practitioners in human-computer information retrieval (HCIR)?,Answer: The purpose of the annual gathering of researchers and practitioners in human-computer information retrieval (HCIR) is to advance the state of the art in this field.
"Advancements in high-throughput microscopy imaging have transformed cell      analytics, enabling functionally relevant, rapid, and in-depth bioanalytics with       Artificial Intelligence (AI) as a powerful driving force in cell therapy (CT)       manufacturing. High-content microscopy screening often suffers from systematic       noise, such as uneven illumination or vignetting artifacts, which can result in       false-negative findings in AI models. Traditionally, AI models have been expected       to learn to deal with these artifacts, but success in an inductive framework       depends on sufficient training examples. To address this challenge, we propose a       two-fold approach: (1) reducing noise through an image decomposition and       restoration technique called the Periodic Plus Smooth Wavelet transform (PPSW)       and (2) developing an interpretable machine learning (ML) platform using       tree-based Shapley Additive exPlanations (SHAP) to enhance end-user       understanding. By correcting artifacts during pre-processing, we lower the       inductive learning load on the AI and improve end-user acceptance through a more       interpretable heuristic approach to problem solving. Using a dataset of human       Mesenchymal Stem Cells (MSCs) cultured under diverse density and media       environment conditions, we demonstrate supervised clustering with mean SHAP       values, derived from the 'DFT Modulus' applied to the decomposition of       bright-field images, in the trained tree-based ML model. Our innovative ML       framework offers end-to-end interpretability, leading to improved precision in       cell characterization during CT manufacturing.",How can the use of high-throughput microscopy imaging and Artificial Intelligence (AI) improve cell therapy (CT) manufacturing by reducing noise and enhancing end-user understanding?,"Answer: The use of high-throughput microscopy imaging and Artificial Intelligence (AI) can improve cell therapy (CT) manufacturing by reducing noise and enhancing end-user understanding through a two-fold approach. Firstly, an image decomposition and restoration technique called the Periodic Plus Smooth Wavelet transform (PPSW) can be used to reduce noise in high-content microscopy screening. Secondly, an interpretable machine learning (ML) platform using tree-based Shapley Additive exPlanations (SHAP) can be developed to enhance end-user understanding. By correcting artifacts during pre-processing, the inductive learning load on the AI is lowered, and end-user acceptance is improved through a more interpretable heuristic approach to problem solving. The use of this innovative ML framework offers end-to-end interpretability, leading to improved precision in cell characterization during CT manufacturing."
"BACKGROUND: Capsule endoscopy (CE) is the first-choice exploration in case of      overt small bowel bleeding (SBB). An early CE is known to increase diagnostic       yield, but long reading times may delay therapeutics. The study evaluates the       diagnostic performance of the artificial intelligence tool TOP100 in patients       with overt SBB undergoing early CE with Pillcam SB3. METHODS: Patients who       underwent early CE (up to 14 days from the bleeding episode) for suspected overt       SBB were included. One experienced endoscopist prospectively performed standard       reading (SR) and a second blind experienced endoscopist performed a TOP100-based       reading (TR). The primary endpoint was TR diagnostic accuracy for lesions with       high bleeding potential (P2). RESULTS: A total of 111 patients were analyzed. The       most common clinical presentation was melena (64%). CE showed angiodysplasias in       40.5% of patients (45/111). In per-patient analysis, TR showed a sensitivity of       90.48% (95% CI 82.09-95.80), specificity of 100% (95% CI 87.23-100) with a PPV of       100% (95% CI 94.01-100), NPV of 77.14% (95% CI 63.58-86.71) and diagnostic       accuracy of 92.79 (86.29-96.84). At multivariate analysis, adequate intestinal       cleansing was the only independent predictor of concordance between TR and SR (OR       2.909, p = 0.019). The median reading time for SR and TR was 23 min (18.0-26.8)       and 1.9 min (range 1.7-2.1), respectively (p < 0.001). CONCLUSIONS: TOP100       provides a fast-reading mode for early CE in case of overt small bowel bleeding.       It identifies most patients with active bleeding and angiodysplasias, aiding in       the prioritization of therapeutic procedures. However, its accuracy in detecting       ulcers, varices and P1 lesions seems insufficient.",What is the diagnostic accuracy of the artificial intelligence tool TOP100 in detecting lesions with high bleeding potential (P2) in patients with overt small bowel bleeding undergoing early capsule endoscopy (CE) with Pillcam SB3?,Answer: The diagnostic accuracy of the artificial intelligence tool TOP100 in detecting lesions with high bleeding potential (P2) in patients with overt small bowel bleeding undergoing early capsule endoscopy (CE) with Pillcam SB3 is 92.79% (86.29-96.84).
